City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,New Norfolk,AU,2020-08-25  20:49:40,-42.78,147.06,46.99,82,100,3.0
62,Bluff,NZ,2020-08-25  20:49:40,-46.6,168.33,44.26,76,86,17.45
63,Port Lincoln,AU,2020-08-25  20:44:41,-34.73,135.87,52.18,65,35,9.6
64,Esperance,AU,2020-08-25  20:49:40,-33.87,121.9,51.8,100,0,5.82
65,Arraial Do Cabo,BR,2020-08-25  20:48:05,-22.97,-42.03,69.8,64,75,16.11
66,Swift Current,CA,2020-08-25  20:49:41,50.28,-107.8,78.8,29,1,12.75
67,Neuquen,AR,2020-08-25  20:49:41,-38.95,-68.06,53.6,54,25,8.05
68,Mar Del Plata,AR,2020-08-25  20:45:01,-38.0,-57.56,55.4,93,90,2.24
69,Klaksvik,FO,2020-08-25  20:49:41,62.23,-6.59,46.4,81,91,1.12
70,Jasidih,IN,2020-08-25  20:49:41,24.52,86.65,80.29,82,100,5.48
71,Arlit,NE,2020-08-25  20:49:42,18.74,7.39,89.11,45,65,17.45
72,Ati,TD,2020-08-25  20:49:42,13.22,18.34,77.16,81,98,7.63
73,Port Hedland,AU,2020-08-25  20:47:54,-20.32,118.57,62.6,100,75,3.36
74,Clyde River,CA,2020-08-25  20:44:47,70.47,-68.59,44.74,69,1,8.23
75,La Paz,BO,2020-08-25  20:45:54,-16.5,-68.15,62.6,23,40,12.75
76,Ishigaki,JP,2020-08-25  20:49:42,24.34,124.16,83.21,87,95,20.24
77,Lagoa,PT,2020-08-25  20:49:42,39.05,-27.98,73.94,89,90,17.81
78,Akureyri,IS,2020-08-25  20:49:43,65.68,-18.09,50.0,76,20,5.82
79,Outlook,CA,2020-08-25  20:49:43,51.5,-107.05,79.0,28,9,4.0
80,Luanda,AO,2020-08-25  20:49:43,-8.84,13.23,73.4,78,75,8.05
81,Kaitangata,NZ,2020-08-25  20:45:04,-46.28,169.85,42.01,72,51,8.99
82,San Angelo,US,2020-08-25  20:47:28,31.46,-100.44,97.0,28,1,5.82
83,Bundaberg,AU,2020-08-25  20:49:43,-24.85,152.35,53.01,57,0,6.93
84,Hobyo,SO,2020-08-25  20:49:44,5.35,48.53,76.64,84,64,23.87
85,Sambava,MG,2020-08-25  20:49:44,-14.27,50.17,69.82,87,17,10.47
86,Taltal,CL,2020-08-25  20:49:44,-25.4,-70.48,59.14,54,0,3.91
87,Hope,US,2020-08-25  20:46:07,33.67,-93.59,93.99,49,86,1.99
88,Hambantota,LK,2020-08-25  20:49:45,6.12,81.12,77.0,100,5,3.36
89,Tasiilaq,GL,2020-08-25  20:49:45,65.61,-37.64,42.8,81,0,9.17
90,Hobart,AU,2020-08-25  20:49:45,-42.88,147.33,48.2,57,75,17.22
91,Norman Wells,CA,2020-08-25  20:49:45,65.28,-126.83,66.2,59,75,2.24
92,Tomatlan,MX,2020-08-25  20:49:46,19.93,-105.25,84.0,81,59,5.44
93,Nabire,ID,2020-08-25  20:49:46,-3.37,135.48,73.99,89,6,4.09
94,Butaritari,KI,2020-08-25  20:49:46,3.07,172.79,81.39,68,60,3.87
95,Mount Gambier,AU,2020-08-25  20:49:46,-37.83,140.77,39.2,93,75,8.05
96,Georgetown,MY,2020-08-25  20:49:46,5.41,100.34,78.8,94,20,3.36
97,Ancud,CL,2020-08-25  20:49:47,-41.87,-73.82,55.4,76,40,8.05
98,Salaberry-De-Valleyfield,CA,2020-08-25  20:48:37,45.25,-74.13,73.0,63,31,1.99
99,Pacific Grove,US,2020-08-25  20:49:47,36.62,-121.92,77.0,60,40,9.17
100,Chuy,UY,2020-08-25  20:49:47,-33.7,-53.46,61.9,71,100,9.69
101,Vaini,TO,2020-08-25  20:49:47,-21.2,-175.2,73.4,94,20,3.36
102,Ojinaga,MX,2020-08-25  20:49:48,29.57,-104.42,93.2,23,75,6.93
103,Thompson,CA,2020-08-25  20:46:55,55.74,-97.86,53.6,76,90,6.93
104,Udachnyy,RU,2020-08-25  20:49:48,66.42,112.4,46.4,68,4,4.47
105,Ierapetra,GR,2020-08-25  20:49:48,35.01,25.74,78.01,70,0,5.01
106,Gat,IL,2020-08-25  20:49:48,31.61,34.76,82.0,32,0,3.74
107,Forest Grove,US,2020-08-25  20:49:48,45.52,-123.11,80.01,41,1,4.7
108,Aklavik,CA,2020-08-25  20:49:48,68.22,-135.01,59.0,72,75,5.82
109,Paragominas,BR,2020-08-25  20:49:49,-2.97,-47.48,85.51,46,87,3.2
110,Fonte Boa,BR,2020-08-25  20:49:49,-2.5,-66.27,84.29,57,100,1.95
111,Quatre Cocos,MU,2020-08-25  20:49:49,-20.21,57.76,71.01,83,20,10.29
112,Mayor Pablo Lagerenza,PY,2020-08-25  20:49:49,-19.93,-60.77,93.42,23,0,9.08
113,Tuy Hoa,VN,2020-08-25  20:49:49,13.08,109.3,81.66,76,17,10.87
