City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
619,Sile,TR,81.0,clear sky,41.18,29.61,Seref Hotel
620,Gigmoto,PH,77.95,moderate rain,13.78,124.39,Cj's Travellers Inn
621,High Rock,BS,82.4,shower rain,26.62,-78.28,Ocean Pearl Bonefishing Resort
622,Manado,ID,80.6,few clouds,1.49,124.85,Aryaduta Hotel
623,Santa Marta,CO,86.0,scattered clouds,11.24,-74.2,Hotel La Ballena Azul
625,Rockland,US,73.0,light rain,41.17,-74.05,National Camp Association
626,Prestea,GH,85.75,light rain,5.43,-2.14,Channel 5
628,Boyuibe,BO,85.33,clear sky,-20.42,-63.28,Residencial Eluzai
631,Methoni,GR,88.0,clear sky,36.82,21.7,Methoni Beach Hotel
634,Bagaces,CR,75.2,fog,10.53,-85.25,Cabinas Tamarindo Bagaces
635,Bartica,GY,84.2,scattered clouds,6.4,-58.62,La Vista Hotel and Apartment
638,Derzhavinsk,KZ,79.05,clear sky,51.1,66.32,Ooo.khim Baza
639,Ojinaga,MX,89.6,clear sky,29.57,-104.42,Suites Las Palmas
640,Sorong,ID,77.41,moderate rain,-0.88,131.25,The Waigo Hotel
642,Takoradi,GH,79.32,broken clouds,4.88,-1.76,Raybow International Hotel
643,Fairview,US,78.01,overcast clouds,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
644,Yueyang,CN,77.79,clear sky,29.33,113.09,Delong Fortune Hotel
645,Bolanos De Calatrava,ES,75.99,scattered clouds,38.91,-3.66,Hotel Almagro
646,Qiyang,CN,80.26,light rain,26.59,111.85,鑫利大酒店
647,Tavricheskoye,RU,78.8,broken clouds,54.59,73.64,Prodayotsya Kotedzh
649,Davila,PH,82.36,overcast clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
650,Inongo,CD,77.59,light rain,-1.95,18.27,Hotel Du Lac
651,Bumba,CD,83.28,overcast clouds,2.18,22.47,Hôtel Cape Town
658,Oktyabrskoye,RU,78.8,scattered clouds,43.06,44.74,Prolesok Mini-hotel
659,Koutiala,ML,83.19,overcast clouds,12.39,-5.46,Hotel Campement Poule Verte
660,Mumford,GH,78.24,broken clouds,5.26,-0.76,Spanish Villa
661,Alofi,NU,75.2,broken clouds,-19.06,-169.92,Taloa Heights
662,Tamala,RU,71.28,broken clouds,52.54,43.25,Kolkhoznyy Pereulok
664,Uige,AO,71.6,overcast clouds,-7.61,15.06,Juliao Pereira
666,Quezon,PH,72.63,overcast clouds,7.73,125.1,Zayas Building
676,Maxixe,MZ,78.01,broken clouds,-23.86,35.35,Oceano
677,Ladario,BR,86.0,clear sky,-19.0,-57.6,Hotel Fazenda 4 cantos
682,Peniche,PT,75.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
683,Cockburn Town,TC,82.96,clear sky,21.46,-71.14,Osprey Beach Hotel
684,Yatou,CN,72.03,clear sky,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
686,Kandrian,PG,77.29,broken clouds,-6.22,149.55,Kandrian Station
687,Tukrah,LY,84.58,clear sky,32.53,20.58,استراحة لاقروتا
688,Chegem,RU,82.4,broken clouds,43.28,43.13,Bulungu
689,Kingsport,US,73.99,overcast clouds,36.55,-82.56,MeadowView Conference Resort & Convention Center
691,Panaba,MX,83.93,overcast clouds,21.28,-88.27,Hotel Amor
694,Oyem,GA,78.73,light rain,1.6,11.58,Commissariat de police
696,Puerto Narino,CO,77.0,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
697,Pokhara,NP,73.15,overcast clouds,28.23,83.98,Hotel View Point
