City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Cayenne,GF,4.93,-52.33,82.4,78,90,5.82,overcast clouds
83,Dungarvan,IE,52.09,-7.63,60.01,62,67,7.0,broken clouds
84,Tutoia,BR,-2.76,-42.27,88.38,50,23,11.86,few clouds
85,Mount Gambier,AU,-37.83,140.77,62.6,29,100,23.04,overcast clouds
86,Tuktoyaktuk,CA,69.45,-133.04,39.2,93,75,10.29,broken clouds
87,Nuuk,GL,64.18,-51.72,55.4,71,75,2.24,broken clouds
88,Vila Velha,BR,-20.33,-40.29,78.8,69,75,10.29,broken clouds
89,Les Cayes,HT,18.2,-73.75,85.62,70,0,3.47,clear sky
90,Mar Del Plata,AR,-38.0,-57.56,52.0,71,100,9.17,overcast clouds
91,Heihe,CN,50.24,127.49,60.8,67,40,6.71,scattered clouds
92,Camana,PE,-16.62,-72.71,61.97,79,94,12.21,overcast clouds
93,Torbay,CA,47.67,-52.73,64.0,63,40,23.04,scattered clouds
94,Caxito,AO,-8.58,13.66,75.2,73,75,11.41,broken clouds
95,Victoria,HK,22.29,114.16,87.01,66,7,5.01,clear sky
96,Kahului,US,20.89,-156.47,77.0,69,20,10.29,few clouds
97,Mahebourg,MU,-20.41,57.7,71.6,83,75,12.75,shower rain
98,Kavieng,PG,-2.57,150.8,81.37,78,36,10.85,scattered clouds
99,Fortuna,US,40.6,-124.16,55.0,93,90,3.36,overcast clouds
100,Kawanoe,JP,34.02,133.57,84.99,79,0,2.3,clear sky
101,Muravlenko,RU,63.79,74.52,61.63,72,58,15.32,broken clouds
102,Warrnambool,AU,-38.38,142.48,55.0,67,61,11.99,broken clouds
103,Port Alfred,ZA,-33.59,26.89,59.67,52,20,29.57,few clouds
104,Kaeo,NZ,-35.1,173.78,46.0,3,0,2.98,clear sky
105,Hithadhoo,MV,-0.6,73.08,82.8,75,100,14.5,overcast clouds
106,Palera,IN,25.02,79.23,77.61,87,18,2.3,few clouds
107,Marawi,PH,8.0,124.29,75.99,91,100,3.0,light rain
108,Cortez,US,37.35,-108.59,64.4,63,1,8.05,clear sky
109,Jalu,LY,29.03,21.55,100.29,16,0,7.63,clear sky
110,Upernavik,GL,72.79,-56.15,41.0,63,0,7.47,clear sky
111,Airai,TL,-8.93,125.41,54.91,99,35,3.69,scattered clouds
112,Havre-Saint-Pierre,CA,50.23,-63.6,57.2,62,1,14.99,clear sky
113,Nanortalik,GL,60.14,-45.24,52.27,66,96,9.01,overcast clouds
114,Buzuluk,RU,52.78,52.26,67.42,68,100,10.94,light rain
115,Namatanai,PG,-3.67,152.43,79.54,81,67,8.5,broken clouds
116,Hermanus,ZA,-34.42,19.23,54.0,56,82,5.01,broken clouds
117,Zyryanka,RU,65.75,150.85,37.02,91,0,3.83,clear sky
118,Xam Nua,LA,20.42,104.04,69.91,84,99,2.15,light rain
119,Nome,US,64.5,-165.41,54.0,87,90,5.82,overcast clouds
120,Salamiyah,SY,35.01,37.05,102.52,9,0,6.8,clear sky
121,Tuatapere,NZ,-46.13,167.68,45.0,72,100,11.01,overcast clouds
122,Ghatsila,IN,22.6,86.48,83.66,73,31,2.91,scattered clouds
123,Ambilobe,MG,-13.2,49.05,82.81,46,0,3.36,clear sky
124,Bathsheba,BB,13.22,-59.52,82.4,83,40,18.34,shower rain
125,Paka,MY,4.64,103.44,82.4,88,98,8.48,light rain
